vendor_id,name_en,chain_name_en,vertical_class,vertical,main_cuisine
738143,"Nutella Waffel 2,Faisal - Kom Bakar",Nutella Waffel 2,food,food,Waffles
742299,"Waffle Maker, Dokki - Mohy El Din Abou El Ezz",Waffle Maker,food,food,Waffles
740938,"Koshary Faisal,Giza",Koshary Faisal,food,food,Koshary
751673,"Koshary w Tawajin Moamen, Al Bahr Al Azam",Koshary w Tawajin Moamen,food,food,Koshary
763259,"Koshary Helmeya Hend, Imbabah - Bashtil",Koshary Halwani Hend,food,food,Koshary
757632,"Koshary El-Zaaem, Tagammoa 1",Koshary El-Zaaem,food,food,Koshary
612856,"Koshary El Za3im, El Zeitoun",Koshary El Za3im,food,food,Koshary
747955,"Koshary El Haref, Mokattam - Qatameya Gardens",Koshary El Haref,food,food,Koshary
758551,"Koshry El7oseny, Al Teraa",Koshry El7oseny,food,food,Koshary
757651,"Koshary El Zaem, Ain Shams - El Sharqeya",Koshary El Zaem,food,food,Koshary
751271,"Koshary Albasha, Haram - Omraniya Gharbeya",Koshary Albasha,food,food,Koshary
752348,"Koshry Hend, Zahraa El Maadi - Al Kuwaiti",Koshry Hend,food,food,Koshary
758531,"Koushari Hend,Mohandiseen",Koushari Hend,food,food,Koshary
752496,"Mr Koshary, Tanta",Mr. Koshary,food,food,Koshary
708557,"Koshary Hend, Cairo - Abbasiya",Koshary Hend,food,food,Koshary
714857,"EL-Zaiem, Nasr City - El Wafaa W El Amal",EL-Zaiem,food,food,Italian
758002,"Sofra Restaurant & Cafe,Zahraa El Maadi - El Me'arag El Soufly",Sofra Restaurant & Cafe,food,food,Italian
600562,"Pastaliano, El Rehab City",Pastaliano,food,food,Italian
607651,"India Gate, Mohandiseen",India Gate,food,food,Indian
604306,India Gate - Nasr City,India Gate,food,food,Indian
740409,"I-Sushi, Tagammoa 5 - Ganoub El Academeya",I-Sushi,food,food,Chinese
740407,"I-Sushi, New Nozha",I-Sushi,food,food,Chinese
740408,"I-Sushi, 6th of October - El Hay El Motamyez",I-Sushi,food,food,Chinese
752774,"sushi piece,6th of October - El Hay El Motamyez",Sushi Piece,food,food,Chinese
762543,"Yummy Wok, Madinaty - Central Park",Yummy Wok,food,food,Chinese
752784,"sushi way,Tagammoa 5 - El Showifat",sushi way,food,food,Chinese
618358,"Sushi Bay, Ard El Golf",SUSHI BAY,food,food,Chinese
